Date, WD,Name,Type,,,
2018 1 Jan,Monday,New Year's Day,National holiday,,,
2018 14 Feb,Wednesday,Valentine's Day,Observance,,,
2018 16 Feb,Friday,Chinese Lunar New Year's Day,National holiday,,,
2018 17 Feb,Saturday,Second day of Chinese Lunar New Year,National holiday,,,
2018 19 Feb,Monday,Fourth day of Chinese Lunar New Year,National holiday,,,
2018 21 Mar,Wednesday,March Equinox,Season,,,
2018 30 Mar,Friday,Good Friday,National holiday,,,
2018 31 Mar,Saturday,Holy Saturday,National holiday,,,
2018 1 Apr,Sunday,Easter Sunday,Observance,,,
2018 2 Apr,Monday,Easter Monday,National holiday,,,
2018 5 Apr,Thursday,Tomb Sweeping Day,National holiday,,,
2018 1 May,Tuesday,Labour Day,National holiday,,,
2018 13 May,Sunday,Mother's Day,Observance,,,
2018 22 May,Tuesday,Buddha's Birthday,National holiday,,,
2018 17 Jun,Sunday,Father's Day,Observance,,,
2018 18 Jun,Monday,Dragon Boat Festival,National holiday,,,
2018 21 Jun,Thursday,June Solstice,Season,,,
2018 1 Jul,Sunday,Hong Kong Special Administrative Region Establishment Day,National holiday,,,
2018 2 Jul,Monday,Hong Kong Special Administrative Region Establishment Day observed,National holiday,,,
2018 25 Aug,Saturday,Hungry Ghost Festival,Observance,,,
2018 23 Sep,Sunday,September Equinox,Season,,,
2018 24 Sep,Monday,Mid-Autumn Festival,Observance,,,
2018 25 Sep,Tuesday,Day after Mid-Autumn Festival,National holiday,,,
2018 1 Oct,Monday,National Day of the People's Republic of China,National holiday,,,
2018 6 Oct,Saturday,Confucius' Birthday,Observance,,,
2018 17 Oct,Wednesday,Chung Yeung Festival,National holiday,,,
2018 31 Oct,Wednesday,Halloween,Observance,,,
2018 22 Dec,Saturday,December Solstice,Season,,,
2018 25 Dec,Tuesday,Christmas Day,National holiday,,,
2018 26 Dec,Wednesday,Boxing Day,National holiday,,,
2018 31 Dec,Monday,New Year's Eve,Observance,,,
,,,,,,
2017 1 Jan,Sunday,New Year's Day,National holiday,,,
2017 2 Jan,Monday,New Year's Day observed,National holiday,,,
2017 28 Jan,Saturday,Chinese Lunar New Year's Day,National holiday,,,
2017 29 Jan,Sunday,Second day of Chinese Lunar New Year,National holiday,,,
2017 30 Jan,Monday,Third day of Chinese Lunar New Year,National holiday,,,
2017 31 Jan,Tuesday,Fourth day of Chinese Lunar New Year,National holiday,,,
2017 14 Feb,Tuesday,Valentine's Day,Observance,,,
2017 20 Mar,Monday,March Equinox,Season,,,
2017 4 Apr,Tuesday,Tomb Sweeping Day,National holiday,,,
2017 14 Apr,Friday,Good Friday,National holiday,,,
2017 15 Apr,Saturday,Holy Saturday,National holiday,,,
2017 16 Apr,Sunday,Easter Sunday,Observance,,,
2017 17 Apr,Monday,Easter Monday,National holiday,,,
2017 1 May,Monday,Labour Day,National holiday,,,
2017 3 May,Wednesday,Buddha's Birthday,National holiday,,,
2017 14 May,Sunday,Mother's Day,Observance,,,
2017 30 May,Tuesday,Dragon Boat Festival,National holiday,,,
2017 18 Jun,Sunday,Father's Day,Observance,,,
2017 21 Jun,Wednesday,June Solstice,Season,,,
2017 1 Jul,Saturday,Hong Kong Special Administrative Region Establishment Day,National holiday,,,
2017 5 Sep,Tuesday,Hungry Ghost Festival,Observance,,,
2017 23 Sep,Saturday,September Equinox,Season,,,
2017 1 Oct,Sunday,National Day of the People's Republic of China,National holiday,,,
2017 2 Oct,Monday,National Day of the People's Republic of China observed,National holiday,,,
2017 4 Oct,Wednesday,Mid-Autumn Festival,Observance,,,
2017 5 Oct,Thursday,Day after Mid-Autumn Festival,National holiday,,,
2017 16 Oct,Monday,Confucius' Birthday,Observance,,,
2017 28 Oct,Saturday,Chung Yeung Festival,National holiday,,,
2017 31 Oct,Tuesday,Halloween,Observance,,,
2017 22 Dec,Friday,December Solstice,Season,,,
2017 25 Dec,Monday,Christmas Day,National holiday,,,
2017 26 Dec,Tuesday,Boxing Day,National holiday,,,
2017 31 Dec,Sunday,New Year's Eve,Observance,,,